videoid,auto,sub
q_iqtdqBkV8,True,False
gSbQTcwVMrM,True,False
JdwZwrs8Qt0,True,False
jK7o49tFylM,False,False
kiUYrnqjOj8,True,False
oMSdFM12hOw,False,False
W5Wv22y6-GA,True,False
ncIxYzq1d2Q,True,False
FDoY1zaWB4I,False,False
Y7ceiohNbqI,True,False
6D_VzViTAOA,True,False
0RdDQIaJNeo,True,False
Ic0LrNBuSi4,True,False
jWqoJWrnsc4,False,False
0LH6-w57Slw,True,False
a7R5qT-48Js,True,False
QVY4SJt4mzg,True,False
U_qZshsYttE,True,False
JZQz0rkNajo,False,False
4YFnkmG0BYc,False,False
GLsCR2RMBak,False,False
B5ORk9tLf20,True,False
bTUrWYv2vtU,False,False
s4-gMgdsnHQ,True,False
ELzFKIdyVYA,False,False
P9CGoBWXmyY,True,False
E39GIysMevQ,True,False
kA54zkA8JCo,True,False
n9Y-lS1trhw,False,False
PuuOIe-_v_0,False,False
pCcJFdYNamc,False,True
MlQeLoTUoZE,True,False
RWnB_o2_5dY,False,False
e2mVNFdgbr4,True,False
Gd-jZj5PgMA,True,False
7gNqLRbX8uM,True,False
aPIL3zv9hfc,True,False
TybFtK6VTVo,True,False
FrkEDe6Ljqs,False,False
FI4XhThSkWo,True,False
BuSBo8AVpV0,False,False
BSOtKXV2reo,True,False
s_Ntt6eTn94,False,True
deLep32aVCE,True,False
e_7ilNL4gxM,True,False
3NAf1UEE8E0,False,False
H7XYe4mqW4c,False,True
vELYvvPT4aI,True,False
WZaIfyvERcA,False,True
qjjDF0HIrcY,False,True
Vj5HR62bCXA,True,True
U-OCdTeZLac,False,True
exKwh4lPf4I,True,True
wlEkslSCRGY,True,True
1BPm40HGTk4,True,False
GtF4SkSf0yU,True,True
Cd3u0yav_bU,True,True
nMu7vHHULk0,True,True
2Z2PCPcXzH0,True,True
-_nmM-8dgMg,True,True
XbGs_qK2PQA,False,False
PVad0c2cljo,True,True
IY_QjwU4DVc,True,True
eR-ja-puGvw,False,True
WyxXGdG3-Io,False,False
YUEKx6XryK8,False,True
J_bf_KE5llQ,True,True
l7KdLPN3pVM,True,True
9_k_goMr5ZI,False,False
T6rDT5bIllI,False,False
dFcKomu2XhI,False,False
YpoHqSgjTjg,False,False
qAhw51d3cGw,True,False
mN6jDz0UPdo,False,False
IT8XvzIfi4U,False,False
qYTdxgpoqO8,True,False
NZVqPja6Alg,False,False
cb1z68RELN4,False,False
NOh9T7YeR3o,True,False
w3JWNPcspoM,False,False
x-bUzKgyYuY,False,True
Gb1R7rZbFRQ,True,False
i-p9lWIhcLQ,True,False
HoZGMqCIRK8,False,False
3yfLht7w7Yk,True,False
J1Efz6E3_-0,False,False
Tmz4TS3Div8,False,False
RDjtaYujOZQ,False,False
3ojzQValjWQ,True,False
4wHaTS7wsvk,True,False
eeUyV6Ou8HM,False,False
bN-gyvtcfqo,True,False
YNzzUAUx4ew,False,False
QJbE1rCfhWE,False,False
GQI72THyO5I,True,False
mXoFhxPkxqc,False,False
4AJCy-pK0Ow,False,False
0TgLtF3PMOc,False,False
FlAWhMGz6bY,True,False
alzC4vM64ok,False,False
N2xkslgdUD0,False,False
qnIeacQoCT4,False,False
nnG1alOexYo,True,False
Yw9p3dEq8mM,True,False
HKWuye_xrNg,True,False
LsGZ_2RuJ2A,True,False
Y2nLieCOCxI,True,False
mSCS6WemGkg,False,False
RGVQfq8a6fY,False,False
8jV1SwpZ-W4,True,False
OBIonS6zDkY,True,False
oBu-pQG6sTY,True,False
3MkJtsahaEk,True,False
714LTMNJy5M,True,False
-Pp07jgbPHU,False,False
koCU43SpQVQ,False,False
uO872zbBdNU,True,False
tM7ck2aWb9A,False,False
BmHTQsxxkPk,True,False
b5kO8guseO4,False,False
IsNQ6TN1PcU,True,False
JuN0sfppiM4,True,False
IR6jle2BIo0,False,False
l9c1k_m6POA,True,False
l-Yy6poJ2zs,True,False
9yp4hFzZ25c,True,False
4g2R-kn_-0c,True,False
SwtcxcBb0kg,True,False
53g5_kh3pvg,True,False
D2-syOQQjbA,True,False
j3l3fHSO_BU,True,False
FA2GFWu3uUQ,True,False
UiYomUERHXk,True,False
VAg_dfIgL04,True,False
T_AwUOyxMlY,True,False
CSA7eJp825g,True,False
fQHGjFAWEnc,True,False
U6DJ0Awuje0,True,False
rHr1mFv_xa8,True,False
QrvrQlfaUjo,True,False
o516LyCt4nU,False,False
Up2FPj-NDyY,True,False
gnD_FgSkjt8,True,False
jxePHOeD6mU,True,False
jkXXhofaGR8,True,True
Ysno1kTPx94,True,True
XXmysCN6hzI,True,False
AVkiVKy9aJg,True,False
kcnGmKi3xms,True,True
xrXD0Y2GmuI,False,True
A8GpeMRH9dY,True,True
cBbOFQxiqR8,True,True
PxXacC4C1WE,True,True
N1zjLsnHDPo,True,True
ytmZFUaiTy8,False,True
uyUoK71uATU,True,True
PwrX3XisKA0,False,True
yOgWRpTiKzE,True,False
Wzmacu2TgFg,True,True
Sh3Q_tAzBds,True,True
sZ20P_25Gjk,True,False
Arx8bX4E_Cw,False,False
51ykIVq9KcM,False,False
drI3kX6_Gu4,False,True
guI9DCxK_es,False,False
c9EP7jiVJnU,True,False
zwGM8DIoqxE,True,True
1Db5CorBfz4,False,False
kP9RYbYNjjA,False,False
XenNiItYGUw,False,False
5IbiEyZXOBk,True,False
Q7ydeAVPt8A,True,False
3-maPmnbMEQ,True,True
aiIj2fNjyqc,False,False
0sumXuPcwag,True,False
WjtuWcZnUF8,True,False
mGySWgY-4LU,True,False
KAHKP313P2I,False,False
6PJjvTfx7PQ,True,False
f1A7SdVTlok,False,False
leB43_gDAkA,False,False
W8CEOlAOGas,False,False
WZIsnSlX12s,False,False
0AavxeP5vgE,True,False
5hDc_NCS87c,False,False
4ASKMcdCc3g,False,False
WBTrWrU1ym8,True,False
GH0OuKxjO-M,True,False
KQV3rlo0iCE,True,False
UMp-IF6uPkk,True,False
xPGdOXstSyk,True,False
WrTHX8t0yl8,True,False
yvrx-WS05J4,False,False
MF4kER3uwHs,True,False
dPV_ua0a91M,True,False
lc-k2hb624E,False,False
iVTDvwQB08U,True,False
KcrAkPNB8jc,True,False
5wfGtKePwHE,True,False
WeSPeWN7QAA,True,False
WRJWb8lWAAI,True,False
aup4X0Wr99o,True,False
Pi1x-kyC49o,True,False
DDZsQz9xc3o,True,False
S_y-zcd2PB0,True,False
abczYOn1lIQ,True,False
VU5e4GEz1t0,True,False
M5lRGaV-xQk,False,False
UCkt3KNNd2U,True,True
hneqx_7Elw0,True,False
IlnskJj6LRs,True,False
MuhoGWZhPXY,True,True
EKh_U2NnIs8,False,True
7gDKbT_l2us,False,False
VxOqDe9_zao,True,False
jzLR5BrhFfs,True,False
GkF7WzbXCBU,True,False
DCNmEoQfRsg,True,False
SOmOCfhKwIw,True,False
gI4p0UjIUuc,True,False
cE7RyjwYKK8,True,False
6UYPEfHcxKk,False,False
mAL4-TrRnK0,True,False
q62cpN8EcqA,False,False
BWxfDjQlpgk,True,False
e6cxPAd9-1I,True,False
4FdEOxKpk70,True,False
lTxKIs704yY,True,False
72fyQIMAYhw,True,False
Pqw-gkwoCqs,False,False
ebVjRHUrB2o,True,False
rSbBqR86kTo,False,False
6b-1YRenm5M,True,False
BV28qhrApNI,False,False
UkzMlZBp3QA,False,False
BSzSn-PRdtI,False,False
lf5lYxE0c5c,True,False
NfG2DxLbThg,True,False
aDdOnl0bHO4,False,False
M11SvDtPBhA,False,False
R7-d-KudJ4k,False,False
CNdMFXAZK_A,False,False
gTOYhxubOmk,False,False
Hr0Wv5DJhuk,False,False
2m6nGyM8kTs,False,False
JgHGRceIv3s,True,False
Jne9t8sHpUc,False,False
bmA8lnrTlw8,False,False
Azb4Au5lUQM,False,False
x9XIrfiNyUA,True,False
7k1aRO6OtI4,False,False
rJeP65u84ec,False,True
f7PmrZfMMf4,True,True
XLSsi__nauw,False,False
URUXVEnxao0,True,False
wUHQ3Z2mjcI,True,False
Y3iu4b8BayM,True,True
DTH25y2jWMU,False,True
i42GUZbKTPU,True,True
zFenJJtAEzE,True,True
BXTZLUdmzCc,True,True
Ku6vfYMDnAU,True,False
9X9XvGJdJFs,True,False
PfrG0pd8bGs,True,True
SYWTrupdrh8,True,False
g1LxigUdXBM,True,True
rGSuq8AhcKw,False,False
P3mwgkrngsA,True,False
KTRArwegU1o,True,True
cltC4oe9-aA,True,False
hwVl_-lnoys,False,False
kOTY6XJ4TO4,False,False
ME7LJYTFx-U,True,False
oZDW2SlBJQw,True,True
4ZKDeAXpaqA,True,False
Vl-_9eHTTxw,True,True
BJ92XZbqTKg,True,False
1AMrEaERJT0,False,True
J5_EDo-UPQc,True,False
N5-59i6zinw,True,False
5gZ3EzRFQl4,True,False
Wtp-xYN0b6Y,True,True
Kq524OLRBmo,True,False
rfItUYkeqeQ,True,True
tioJ81y5Gv4,True,True
j89mY6tbOS0,True,True
aPm74PJoRiY,True,False
2xnO38V1ZkI,False,True
d4vGPsf1wKY,True,True
ZeK_-pmzoG0,False,True
XUwLAvfBCzw,False,False
QX3M8Ka9vUA,True,False
AgKaHTh-_Gs,True,False
JYXoiGE_5WY,False,False
kq20AgoVta8,True,False
H6a5uqrXzpE,False,False
aPWzxqeFDqw,False,False
fWqKalpYgLo,True,False
mmaraxeGSHQ,True,False
03oD0Wk6MzM,False,False
SSl-SbVz2oA,False,False
736RVy0g6Tc,False,False
4Fk9cujIGOY,True,False
OQ_YE2R7qF4,True,False
FXs3WG7M-qk,False,False
k-cyEx6imuM,True,False
Zqvn6jn2SOs,True,False
Y_SWE6pVTtU,True,False
Fe9bnYRzFvk,False,False
yHfOUocYXak,True,False
_esCDWEM4mY,True,False
9lHhyvPdUfI,True,False
5l6yvjUgvXk,True,False
eHy_BtHGvF8,True,False
W7H2GM7MLAo,True,False
nRM_OspY0lU,True,False
gvFdbZfud28,True,False
lO-c1ZRtP28,True,False
-Mf5fUUmOxA,True,False
h-l5NhWtjEI,True,False
ren2lkNCE1Q,True,False
Rfhdb3ob6d0,True,False
ZqnAvfaklf8,True,False
YDJoRTwuDto,True,False
EEgc5m5LWPk,True,False
PulryR1ZZW4,True,False
1jXF2aVWiPk,True,False
3EqSJ4NdWLQ,True,False
p6D3IuDpdMs,True,False
pGKXK3WyaHo,False,False
EimboyUfCyk,False,False
h18s7zlYOyg,True,False
bzMqvoT4JVE,False,False
2xTlcK9YTx8,False,False
n3-qSfoJ7IM,False,False
xetirQ0lXSo,True,False
2R9ghcqeQnw,False,False
-ACVuTs3IcI,False,False
ig35c88dpQc,False,False
B-5FO86NqG0,False,False
gKLM8GpxQ4k,False,False
fWc76uiqPH8,False,False
9SmQOZWNyWE,False,False
7b36Bw5dGQo,False,False
W31LlujrB08,True,False
LeSfD3M-4Yo,True,False
Lpaw89TfgNY,False,False
u3F7kcLrGvA,True,False
l9mmV96t1ks,False,False
F-JoqgpSsBc,False,False
b74BJas1J_g,False,False
JaFVr_cJJIY,True,False
0LrViQGVRdA,True,False
432r-YpdARM,True,False
wOg0TY1jG3w,False,False
0pGxTQMGSoM,True,False
uN80NoAOzzE,False,False
UVnXp93l5oI,True,False
WVcx29q3ey4,True,False
GP7aP67qQjQ,True,False
YlYdwjevszU,True,False
unxHo1SqPVg,False,False
9o9o2hAMzeo,False,False
KXZejqlgWIo,False,False
2f3oOg4ES2U,True,False
UetrxqQONtg,True,False
JsTj-8bNObw,False,True
MpiZybP4va4,True,False
EfUDfcotcxE,True,False
WDOgwC6IKtE,True,False
TBk0MeYblzM,True,False
CY8E6N5Nzec,False,False
kJQP7kiw5Fk,False,False
xqeApUHDKUs,True,False
hTWKbfoikeg,False,False
4Tp1XExTvA4,True,False
Krd7TUmXRmo,True,False
1foRxkTwmtM,True,False
HlGUpfMclTw,True,False
wnn9cPiKqjE,True,False
bVxTfsA6OvM,True,False
SEt_uAxmCVU,True,False
7vwKMmqSzsg,False,False
YXtCiO_eCkQ,True,False
FHiZs1j8JLA,True,False
N07MFzlpGDk,True,False
7qjkbIgpIos,False,False
2tzvi3Xp6sw,True,False
YiHRaTfFbzA,True,False
Hyrh4MXmLTI,True,False
RtSS0SJE8oE,True,False
604gcaIFcOo,True,False
6Pm_DRar3po,True,False
66toE6219iE,True,False
LSoNNXjLXMs,False,False
x29NsyFjX7k,False,False
lASu0OYs8L0,False,False
fJP7c8xt1n4,False,False
ydNrHzLrKt4,False,False
UlcFuWxyO8s,False,False
AU0NLheu8mU,True,False
x8OYnFFovXc,True,False
t0C-kDNikXg,True,False
9iCINvfheac,False,False
ztr8V7deOvo,True,True
mJ1WYM3m8Lc,True,False
Y-mXJp0MgjY,False,False
fU5v6N3Q4K4,True,True
6-2V_U-AI5A,True,True
0wfDh6sSkPQ,True,True
YIPSmRfpcLc,True,True
-LyZ1qn0n9M,True,True
YBiPT-6N3eU,False,False
zgk8u6KM5nM,True,True
txzEvCnBAYo,True,False
-cbBcpnH5pM,True,False
04OwK28-1xA,True,True
e-hFthq7vm0,True,False
uSPEp-GHzFI,False,True
nJuNxzqfcuY,True,False
oyJ81_Yjt_I,True,False
7ssnnjTnTd4,True,False
M00GNFSgxs8,True,False
dce3P7JXVHo,True,False
b1sRqzhaYOw,True,False
IVJCYwRgJEw,True,False
tg_-uIzzSRs,False,False
_s44K8rkPRE,False,False
QLmZoQ7te2g,True,False
Kx88sT7Smhg,True,False
BHrnabGavtg,True,False
kFT7juC08GM,True,False
-84mAmH6qJM,True,False
AkmcGNqYfPY,False,False
2O3bntgkREw,True,False
fhAuff9YKDw,True,False
CmSUU95Rg8o,True,False
eG-RrKkNsxU,False,False
JdQ23dQDOuA,True,False
YsxUlIwwPpo,True,False
aqASDiRQjG8,True,False
mLcfkLWQHMg,True,False
vGFR7koL5vc,False,False
oloJ1xKw3Ek,False,False
eudJSNRSBrw,False,False
kwdyiuXWuUA,False,False
k1AzBLh0uhg,False,False
bVgqF0Lykdo,False,False
WlYc7xccIkE,False,False
vFpnUeUB71o,False,False
TmUiUDIhDDU,False,False
xrCGSBGM1Rw,False,False
4hrH3DQplR0,False,False
mo-opt01pNo,False,False
e-oyP2DLfrI,True,False
Ht6RXAA4NrQ,True,False
mH8fMQEZF6I,False,False
y4lFnJEFlRA,False,False
Pe-b1UsAxVU,False,False
v6d_LsD8O8U,False,False
DrZFuoQZofM,False,False
xSvPvun5_Bk,True,True
0tKYts54o4E,True,False
_RjhsY06mOI,True,False
8fExGRf8Bts,True,True
SibNcBEWIVY,True,False
_c1U7h5--UE,True,False
66eyTL-EtCM,True,False
32zxzxCWRRs,False,True
327vIUYbLYY,True,True
ymY7wcQKfvk,True,False
P_kiqYyt4y4,True,False
SYYuD9mSRtg,True,False
osNpDJ9FX9o,False,True
p0rtvfRX5zw,True,True
H8jgqPBmvXM,True,False
WFBUA5tV5bw,True,False
usqd9b1Vfmw,True,True
HrrY7N12IOA,False,False
xp18_HQSCMY,True,False
cVwjmC-gpBU,False,False
e9ENlGUYwfM,True,False
1dkPouLWCyc,False,False
Okhd_ijkI6k,True,False
LYS3-TtFY-Q,True,False
PKIIViv_q1g,True,False
y8ORvAVnS2U,False,False
VHwlKl5SsHc,False,False
qlQXpRwwF0g,False,True
QGRdVP3FxBg,True,False
HackG-cD_7k,True,False
MkLJx6iNmGk,False,False
Ug1i1Hao9VE,False,False
by2I4TxzLy8,True,False
yobZKdjHjWg,True,False
bGetqbqDVaA,True,False
7GfWXN5Lp1s,False,False
GL8W1GPs7hE,True,False
3fPANuPcmLc,True,False
tq4GjV8auOU,True,False
Ao4Ew8jHpgg,True,False
HKt9RZE6-y0,True,False
9KEuztwRakI,False,False
n1sSPSWYcL4,False,False
gmMifd1d7oM,True,False
ufeY2w_fqRg,True,False
VhqAnFGa9NI,True,False
nO6wRRNLrT0,False,False
D0_BHOmcC2Y,True,False
qG4tLjcpwr4,True,False
YbWOrYlS0vo,True,False
CEx2fPn-_UE,True,False
NDGEYNNXeTs,True,True
pljQrjiDC9Q,True,True
e6-TaH5bkjo,False,True
-mMkpVq76zI,True,False
kDz_PxzpYic,True,True
9deRK3E7iPs,True,True
sY48qLl9ZzE,True,True
CSkWj808qRI,True,True
sWNFAugIZJ4,True,True
Ax-WEtLBUd4,True,True
IIicPE38O-s,False,True
6eH8Wwo8wSM,False,True
nMVdOUwKZc0,True,True
IFs6sw0M7Cc,False,True
FgRqPvTJ-ls,False,False
wrfkPd3MshE,True,False
kgD3hechjp0,True,False
EjN-6KM3DO8,True,False
O980CwjvLww,False,True
7NcP-KZr7g4,True,False
1s0odp2AI_0,False,False
Y6CYIjH8NLw,True,True
MbzezX3qIDk,True,False
PWMlvpyFm-E,False,False
IshaK_YxIGs,False,False
U9ACS4PgDFA,True,False
goKLeFvtp7g,True,False
34qODdNCB1k,False,False
3K6FtIGZTwg,True,False
C7zHj-MayN8,True,False
K7ybbBCBiwE,False,False
j_hAFSixEjk,True,False
KGCjizdoDDA,False,False
zx_htcwqrfM,True,False
xjCFvANOOIk,True,False
q41-XoaSngQ,True,False
9ocKoKHMPSU,True,False
ryCV5Ng0mak,True,False
TQ1J4ttVrgk,True,False
7PtdtgGK2pY,False,False
YV-576jC1BU,True,False
SIIvNopEtzs,False,False
o_wqLTdX_2U,True,False
20IFsaK1riQ,True,False
gKj7YA6KNDE,True,False
44h3bNSLXEk,True,False
NRKjr8H_jxg,True,False
sQwbGU3T_5Y,False,False
OWe2cT_iqAk,True,False
RVhElPdvbb8,True,False
nwsRnn_nCjg,False,False
_BNIH38jSDg,True,False
jTk5mSsUUGA,False,False
H3rPP437wsM,False,False
TDqB1uktJWc,True,False
yB0lZX2M6E4,True,False
iK1XbYo-iOM,True,False
tL3HQzmCI9w,True,False
QhQClSQVFSM,True,False
N8ofL9kjEpE,True,False
B88tJdmr75U,False,False
vYVetYsD74U,True,False
Bd99K23-ly4,False,False
viJ5o7JPWsc,True,False
AunkXBxEg-k,False,False
GyefSqTPay4,True,False
5_PAJJXsQic,True,False
kyqEpWuXADM,True,False
Y2E71oe0aSM,False,False
UIjrMzrjreI,True,False
nskVUMdbF6E,False,False
QxGVgXf_LNk,True,False
hQagzXbyp9I,False,False
VodKoRnARPw,True,False
o9fGAx27suc,True,False
5wnpBF4Eldg,True,False
uxQOvTrjTiU,False,False
bzzdvd6COyM,True,False
oan9TK1KCLQ,False,False
hxo1STgnXhM,False,False
ytQ6b-H7Odw,True,False
GVoAXeSYMGs,True,False
wAcoWDadXtM,False,False
mYHtojsaRkY,True,False
XYBDnxArzK0,False,False
fF71IJUXGOk,True,False
EivSsXxgiUg,True,False
hn6-lpErz5w,True,False
yHYa_XE7Fe4,True,False
WriQd9cfpKY,True,False
QDeWToof0fk,True,False
pO1HvuRnhd4,False,False
Yr5vQn-Ax80,True,False
gB-7mBjFCFM,False,False
sZE49n87nKw,True,False
6KUClD14Njo,False,False
gmRP61cZmwM,True,False
0GgqQBoe5ts,True,True
1ZHw0ikmjxs,True,False
xLSImN0FW64,False,True
zOlinGod_gk,True,True
Atj_gHbVbhM,True,True
qQYiwmamq38,False,True
FBaResVeer4,True,True
_Zk3PtwHxNc,True,True
0hdVpzvLbYo,True,True
Pk0u3kto-Wc,False,False
yqtfL_bW6i4,True,True
5NRoKHUUjuM,False,True
8Va7M6BKlug,True,False
TDxA5rQTGUw,True,False
b-Wf8XJnddg,True,False
IrUOo5XWX7M,False,True
kKeNW01RJYY,True,False
khbtn4O89sQ,True,True
-EfuYx_YWC8,True,False
jYIWJIY7Z10,True,False
t5tfPnnTlGk,True,False
WdohJS9HfN0,True,True
ecYF0v98Jsk,True,False
kFPLx3SICi0,False,False
tCMdg26-NSQ,True,False
zORUUqJd81M,True,False
xc08T5y8n58,True,False
sQMKPOu5XDg,True,True
XvNrVK-3ZnQ,True,False
vGZ9Bmxgz8w,False,True
a7q9puVHLQM,False,False
YCSo2hZRcXk,False,False
WOF1KmXqE1U,True,False
a06iEMI5P9g,False,True
lGoRkPcX3Uw,True,False
zzGV1g1JFVQ,False,False
ZTmRkgoFpxU,True,True
cqa1AFqQdRk,True,True
OS9MJjNK6gA,True,False
eAre5oZurNc,False,False
JZDe9DCx7Wk,True,False
SvfPqYG38y0,True,False
pWdYzdFqnXw,False,False
jLvz1mO9RBI,True,False
Ap2wPvtdPCg,True,False
Jk56geMsdL8,True,False
tkq1Ja5pS_o,False,False
dQISlDyVJcY,True,False
83OKJC7OTLY,False,False
czIBqJ7bC_w,True,False
8MEP8uQ3ckU,True,False
S9_04t4IvtU,False,False
w2FJQV7spGs,False,False
p4VxERfTHgU,True,False
iO8ouMrxFM8,False,False
57WOB-tWKW0,False,False
KZVb020bEjg,True,False
VYdTjAZu7fU,False,True
djGQ3NAOs9Y,False,False
tsCGtxa99l0,True,False
17WAVmPXAYA,True,False
KNI-GbBeeb8,True,True
tZop-zjYkrU,False,True
f_7eknKT1Uc,True,True
2cTtVxwP-CY,True,True
sqEmZ_LRqqA,False,True
ZKhorleA5aA,True,True
VbFoH2flrtU,True,True
2TNgIqL1xUM,True,True
ry1hpm1GXVI,True,True
dqlzQXo1wqo,False,True
_qKpUSpzPIk,False,False
SBaARws0hy4,False,True
q6s2lUDV6go,False,True
c_02LipXBds,True,True
KYaPr38ADTs,True,False
itAfFevThxQ,True,False
cPayoSOS0lI,True,False
LDflWxhfIOQ,False,False
K2x17AN7glE,True,False
_0iSSXSFtcQ,True,False
ChQ18B1hofI,True,False
mQZF_7tY5i0,False,False
76XtxE-HJl8,False,False
tG6JfLepOP8,False,False
427XF9z-o0U,False,False
40RmiWvEVaI,True,False
kNnWNBG4ptE,True,False
WUCXf9pamZE,True,False
uBjDA8F7P5U,True,False
3-TcvtE9Kyg,True,False
2_0PzXh4LLc,True,False
1D21FEILpRw,False,False
tiqrM73quyM,True,False
ilhGh9CEIwM,False,True
bQNTS6OZ39s,True,False
8UZFpCQeXnM,False,True
S4Du0z5fuLw,True,False
TVCWKa1mbkE,False,False
-nl-FixKCVE,True,True
o-83E6levzM,False,True
_NX99ad2FUA,False,True
MrVGWanXVwE,False,False
5AAXUEyRCnU,True,False
H1KP4ztKK0A,True,False
rJTeVOOFMHM,True,False
FsNnDwC6LdU,True,False
1EUlpBS7xsE,True,False
jLUcJ4EhI_Q,True,False
JE5TdcST0LI,True,False
aRefh9pA0rg,True,False
hY9rDvpALhY,True,False
1VcHRjhDiME,False,False
vbRLVpV6g2A,True,False
mUQ36U4pmAU,True,False
OOKbTn6eoTQ,True,False
7pCyI86y9XU,False,False
hyDrcU5Bmwk,True,False
P-rjz-EmaNg,False,False
PKWH85CF_oM,True,False
sN_ZFZJP7xw,False,False
52QL6lgKk7Q,True,False
TpvV5Atbtrc,True,False
XU_AFnCuj_o,True,False
P3ouaw2sT8I,True,False
_9ZrhnNLPDc,False,False
hhuEkjIZpPc,False,False
z2FeWFKAXbM,True,False
HKyWZV86sr4,False,False
1mKJi1muQAI,True,False
SUnkWHl2zeY,True,True
KT18KJouHWg,False,False
_S9WZq2WDQA,False,True
Wuz3mn0e8vE,True,True
cniJaqKRpy8,True,False
mKKrUIXusEI,True,True
YOv5jDFtvsI,False,False
4YCbvRJN-3w,False,False
vA3_9Dvh7v4,False,False
f115BdoRbsA,True,True
8PmZbFHFPzc,True,False
OJBWjfU_gf8,True,False
Qn_WddBfKI0,True,False
9hYaoz-Dbs0,True,False
NvEK-57mLaA,True,False
Mad4kQ5835Y,False,True
-nAYxFzDeVA,True,False
ocaRkvVDO8w,True,False
kUEemqzGUSw,False,False
ZqwivXej3vw,True,False
Ep9bLTmGOkE,False,False
pEmgW0y7M2A,False,False
qd6-n3xYRzY,False,False
6HHotFU0UQo,True,False
nHm68-r8RV4,True,False
iQCyCjBgH-s,True,False
Pf6Hy9ZvCn8,True,False
k3bjQWu7xtc,True,False
i_JBd_IynWo,True,False
-ZL1wkIRzM8,True,False
C9ByCwHvLD4,False,False
YO7X39XV4Fs,True,False
rh1oRwICzTw,False,False
EfTqsCgdayI,True,False
zjYXKRTs7Ls,False,False
IwOZ86iwpZY,True,True
FefBrSthuVo,True,True
1lF36DxmOeI,True,False
J2hRDD6E0KY,False,False
GUtNJnhhOdE,True,False
xn8hb-pfQtE,True,False
U-c3CXz90j0,False,False
KFY-6bcbykg,True,False
pECXx2ia2xU,False,False
bRENELLtG9k,True,False
vw_66M6UyOU,False,False
I7Fidgz-pdo,True,False
K-2MDtjRN8k,True,False
LYJg_PI6Ql4,False,False
ggADVF-VCSM,True,False
